date,command,MAP,date_error,data_error,tape,file,phy_record,log_record,station
1970-05-21T15:26:28.161000Z,4,1,-,-,2,10,24,62,12
1970-05-22T00:01:23.243000Z,4,1,-,-,2,10,214,89,12
1970-05-22T00:03:23.391000Z,4,1,-,-,2,10,215,18,12
1970-05-22T15:25:03.104000Z,4,1,-,-,2,11,24,21,12
1970-05-22T15:26:02.877000Z,4,1,-,-,2,11,24,20,12
1970-05-22T23:59:23.204000Z,4,1,-,-,2,11,214,90,12
1970-05-23T00:01:28.183000Z,4,1,-,-,2,11,215,27,12
1970-05-23T15:25:23.017000Z,4,1,-,-,2,12,24,54,12
1970-05-23T15:26:27.620000Z,4,1,-,-,2,12,24,61,12
1970-05-23T19:28:01.504000Z,4,0,-,-,2,12,113,49,12
1970-05-23T23:52:53.084000Z,4,1,-,-,2,12,211,49,12
1970-05-23T23:56:23.193000Z,4,1,-,-,2,12,213,57,12
1970-05-24T15:25:02.410000Z,4,1,-,-,2,13,24,20,12
1970-05-24T15:26:02.786000Z,4,1,-,-,2,13,24,20,12
1970-05-25T14:45:55.372000Z,4,0,-,-,2,14,10,12,12
1970-05-25T15:25:02.790000Z,4,1,-,-,2,14,24,37,12
1970-05-25T15:26:02.562000Z,4,1,-,-,2,14,24,36,12
1970-05-26T15:26:52.734000Z,4,1,-,-,2,15,25,14,12
1970-05-26T15:27:02.998000Z,4,1,-,-,2,15,25,31,12
1970-05-27T06:15:15.196000Z,4,0,-,-,2,15,352,20,12
1970-05-27T15:25:03.021000Z,4,1,-,-,2,16,24,22,12
1970-05-27T15:26:02.792000Z,4,1,-,-,2,16,24,21,12
1970-05-28T15:25:02.856000Z,4,1,-,-,2,17,24,28,12
1970-05-28T15:26:02.628000Z,4,1,-,-,2,17,24,27,12
1970-05-29T16:21:02.983000Z,4,1,-,-,2,18,45,16,12
1970-05-29T16:27:02.210000Z,4,1,-,-,2,18,47,71,12
1970-05-29T22:01:03.058000Z,4,1,-,-,2,18,170,54,12
1970-05-29T22:02:02.829000Z,4,1,-,-,2,18,170,53,12
1970-05-30T10:08:43.149000Z,4,1,-,-,2,18,437,68,12
1970-05-30T10:09:42.920000Z,4,1,-,-,2,18,438,97,12
1970-05-31T04:38:31.168000Z,4,0,-,-,2,19,315,2,12
1970-05-31T15:28:03.112000Z,4,1,-,-,2,20,25,49,12
1970-05-31T15:28:33.299000Z,4,1,-,-,2,20,25,99,12
1970-06-01T15:27:43.187000Z,4,1,-,-,2,21,25,16,12
1970-06-01T15:28:42.958000Z,4,1,-,-,2,21,25,15,12
1970-06-03T15:25:18.278000Z,4,1,-,-,2,23,24,25,12
1970-06-03T15:26:18.049000Z,4,1,-,-,2,23,25,54,12
1970-06-05T15:26:47.605000Z,4,1,-,-,2,25,25,26,12
1970-06-05T15:27:47.979000Z,4,1,-,-,2,25,25,26,12
1970-06-07T15:25:03.708000Z,4,1,-,-,2,27,24,21,12
1970-06-07T15:26:03.479000Z,4,1,-,-,2,27,24,20,12
1970-06-09T07:55:46.903000Z,4,0,-,-,2,28,377,23,12
1970-06-09T15:25:03.020000Z,4,1,-,-,2,29,24,21,12
1970-06-09T15:26:02.791000Z,4,1,-,-,2,29,24,20,12
1970-06-11T15:25:02.941000Z,4,1,-,-,2,31,24,21,12
1970-06-11T15:26:03.316000Z,4,1,-,-,2,31,24,21,12
1970-06-14T04:01:03.057000Z,4,1,-,-,2,33,302,98,12
1970-06-14T04:02:28.186000Z,4,1,-,-,2,33,303,69,12
1970-06-14T18:43:22.776000Z,4,1,-,-,2,34,93,36,12
1970-06-14T18:45:07.828000Z,4,1,-,-,2,34,93,10,12
1970-06-14T19:52:28.117000Z,4,1,-,-,2,34,118,52,12
1970-06-14T19:54:17.999000Z,4,1,-,-,2,34,119,64,12
1970-06-15T13:17:24.052000Z,4,0,-,-,2,34,503,14,12
1970-06-15T15:25:28.030000Z,4,1,-,-,2,35,24,62,12
1970-06-15T15:26:38.065000Z,4,1,-,-,2,35,25,8,12
1970-06-15T15:56:22.763000Z,4,1,-,-,2,35,35,64,12
1970-06-15T15:57:23.139000Z,4,1,-,-,2,35,36,94,12
1970-06-16T06:51:28.013000Z,4,1,-,-,2,35,366,86,12
1970-06-16T06:52:42.879000Z,4,1,-,-,2,35,366,10,12
1970-06-16T10:51:22.786000Z,4,1,-,-,2,35,454,48,12
1970-06-16T10:52:47.916000Z,4,1,-,-,2,35,455,19,12
1970-06-17T14:06:47.940000Z,4,1,-,-,2,36,525,55,12
1970-06-17T14:08:22.730000Z,4,1,-,-,2,36,525,12,12
1970-06-17T15:25:02.772000Z,4,1,-,-,2,37,24,20,12
1970-06-17T15:26:02.545000Z,4,1,-,-,2,37,25,49,12
1970-06-18T05:45:15.753000Z,4,0,-,-,2,37,341,42,12
1970-06-18T15:28:07.945000Z,4,1,-,-,2,38,25,12,12
1970-06-18T15:29:07.717000Z,4,1,-,-,2,38,26,41,12
1970-06-19T15:26:12.586000Z,4,1,-,-,2,39,24,36,12
1970-06-19T15:27:12.962000Z,4,1,-,-,2,39,25,66,12
1970-06-20T15:26:12.593000Z,4,1,-,-,2,40,24,36,12
1970-06-20T15:27:12.969000Z,4,1,-,-,2,40,25,66,12
1970-06-21T01:47:13.070000Z,4,1,-,-,2,40,253,20,12
1970-06-21T01:48:12.843000Z,4,1,-,-,2,40,253,19,12
1970-06-21T15:25:02.550000Z,4,1,-,-,2,41,24,20,12
1970-06-21T15:26:02.926000Z,4,1,-,-,2,41,24,20,12
1970-06-21T23:46:03.164000Z,4,1,-,-,2,41,208,96,12
1970-06-21T23:47:02.936000Z,4,1,-,-,2,41,209,25,12
1970-06-22T12:40:02.628000Z,4,1,-,-,2,41,494,64,12
1970-06-22T12:41:03.004000Z,4,1,-,-,2,41,494,64,12
1970-06-22T19:09:02.790000Z,4,1,-,-,2,42,107,81,12
1970-06-22T19:10:02.562000Z,4,1,-,-,2,42,107,80,12
1970-06-23T00:00:02.340000Z,4,1,-,-,2,42,205,49,12
1970-06-23T00:01:02.716000Z,4,1,-,-,2,42,206,79,12
1970-06-23T01:39:42.578000Z,4,1,-,-,2,42,242,53,12
1970-06-23T01:43:03.027000Z,4,1,-,-,2,42,243,15,12
1970-06-23T15:25:23.454000Z,4,1,-,-,2,43,24,55,12
1970-06-23T15:26:22.622000Z,4,1,-,-,2,43,24,53,12
1970-06-24T01:09:02.673000Z,4,1,-,-,2,43,239,5,12
1970-06-24T01:10:02.445000Z,4,1,-,-,2,43,239,4,12
1970-06-24T15:26:23.423000Z,4,1,-,-,2,44,24,50,12
1970-06-25T15:36:02.843000Z,4,1,-,-,2,45,28,45,12
1970-06-25T15:37:02.614000Z,4,1,-,-,2,45,28,44,12
1970-06-26T15:25:02.862000Z,4,1,-,-,2,46,24,28,12
1970-06-26T15:26:02.634000Z,4,1,-,-,2,46,24,27,12
1970-06-27T15:25:02.624000Z,4,1,-,-,2,47,24,7,12
1970-06-27T15:26:02.395000Z,4,1,-,-,2,47,24,6,12
1970-06-28T09:39:03.459000Z,4,1,-,-,2,47,427,0,12
1970-06-28T09:40:02.626000Z,4,1,-,-,2,47,427,98,12
1970-06-29T18:53:13.083000Z,4,1,-,-,2,49,102,22,12
1970-06-29T18:54:12.854000Z,4,1,-,-,2,49,102,21,12
